pair,side,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct,exit_reason
EURUSD,LONG,2024-01-03 04:00:00,2024-01-03 05:00:00,1.08623,1.08712,71.89,71.89,Trail
EURUSD,LONG,2024-01-08 18:00:00,2024-01-08 19:00:00,1.08916,1.09010,108.15,107.38,Trail
EURUSD,LONG,2024-01-08 22:00:00,2024-01-08 23:00:00,1.08899,1.08992,141.23,138.73,Trail
EURUSD,LONG,2024-01-15 08:00:00,2024-01-15 09:00:00,1.08555,1.08631,86.66,83.96,Trail
EURUSD,LONG,2024-01-15 09:00:00,2024-01-15 10:00:00,1.08571,1.08644,70.59,67.82,Trail
EURUSD,LONG,2024-01-15 12:00:00,2024-01-15 13:00:00,1.08566,1.08644,125.52,119.79,Trail
EURUSD,LONG,2024-01-15 15:00:00,2024-01-15 16:00:00,1.08561,1.08640,105.45,99.44,Trail
EURUSD,LONG,2024-01-15 18:00:00,2024-01-15 19:00:00,1.08559,1.08637,108.89,101.68,Trail
EURUSD,LONG,2024-01-15 19:00:00,2024-01-15 20:00:00,1.08570,1.08651,100.09,92.52,Trail
EURUSD,LONG,2024-01-15 20:00:00,2024-01-15 21:00:00,1.08590,1.08671,89.49,81.96,Trail
EURUSD,LONG,2024-01-15 23:00:00,2024-01-16 00:00:00,1.08573,1.08661,138.53,125.84,Trail
EURUSD,LONG,2024-01-16 12:00:00,2024-01-16 13:00:00,1.08615,1.08700,96.67,86.73,Trail
EURUSD,LONG,2024-01-16 13:00:00,2024-01-16 14:00:00,1.08620,1.08705,90.80,80.76,Trail
EURUSD,LONG,2024-01-22 09:00:00,2024-01-22 10:00:00,1.08944,1.09032,121.09,106.84,Trail
EURUSD,LONG,2024-01-22 18:00:00,2024-01-22 19:00:00,1.08937,1.09026,99.36,86.74,Trail
EURUSD,LONG,2024-01-22 19:00:00,2024-01-22 20:00:00,1.08941,1.09031,100.67,87.13,Trail
EURUSD,LONG,2024-01-22 21:00:00,2024-01-22 22:00:00,1.08949,1.09041,98.70,84.68,Trail
EURUSD,LONG,2024-01-23 18:00:00,2024-01-23 19:00:00,1.08996,1.09092,97.84,83.24,Trail
EURUSD,LONG,2024-01-25 18:00:00,2024-01-25 19:00:00,1.08844,1.08926,92.22,77.81,Trail
EURUSD,LONG,2024-01-25 19:00:00,2024-01-25 20:00:00,1.08846,1.08927,92.74,77.64,Trail
EURUSD,LONG,2024-01-25 20:00:00,2024-01-25 21:00:00,1.08856,1.08937,92.52,76.87,Trail
EURUSD,LONG,2024-01-26 01:00:00,2024-01-26 02:00:00,1.08846,1.08917,146.40,120.71,Trail
EURUSD,LONG,2024-01-26 02:00:00,2024-01-26 03:00:00,1.08857,1.08929,125.54,102.27,Trail
EURUSD,LONG,2024-01-26 03:00:00,2024-01-26 04:00:00,1.08860,1.08933,123.71,99.75,Trail
EURUSD,LONG,2024-01-26 06:00:00,2024-01-26 07:00:00,1.08858,1.08936,129.08,103.06,Trail
EURUSD,LONG,2024-01-26 08:00:00,2024-01-26 09:00:00,1.08858,1.08937,135.26,106.89,Trail
EURUSD,LONG,2024-01-26 09:00:00,2024-01-26 10:00:00,1.08859,1.08938,128.35,100.36,Trail
EURUSD,LONG,2024-01-26 10:00:00,2024-01-26 11:00:00,1.08866,1.08947,120.74,93.47,Trail
EURUSD,LONG,2024-01-26 12:00:00,2024-01-26 13:00:00,1.08877,1.08962,111.84,85.78,Trail
EURUSD,LONG,2024-01-29 17:00:00,2024-01-29 18:00:00,1.08891,1.08978,95.51,72.63,Trail
EURUSD,LONG,2024-01-29 18:00:00,2024-01-29 19:00:00,1.08893,1.08977,91.40,69.00,Trail
EURUSD,LONG,2024-02-02 07:00:00,2024-02-02 08:00:00,1.09272,1.09351,166.62,124.93,Trail
EURUSD,LONG,2024-02-02 08:00:00,2024-02-02 09:00:00,1.09281,1.09361,148.51,109.98,Trail
EURUSD,LONG,2024-02-02 10:00:00,2024-02-02 11:00:00,1.09279,1.09358,153.11,112.15,Trail
EURUSD,LONG,2024-02-02 13:00:00,2024-02-02 14:00:00,1.09290,1.09371,133.96,97.04,Trail
EURUSD,LONG,2024-02-02 16:00:00,2024-02-02 17:00:00,1.09275,1.09359,155.10,111.27,Trail
EURUSD,LONG,2024-02-02 17:00:00,2024-02-02 18:00:00,1.09277,1.09366,164.59,116.78,Trail
EURUSD,LONG,2024-02-02 18:00:00,2024-02-02 19:00:00,1.09287,1.09377,143.49,100.63,Trail
EURUSD,LONG,2024-02-02 19:00:00,2024-02-02 20:00:00,1.09308,1.09399,118.25,82.10,Trail
EURUSD,LONG,2024-02-04 22:00:00,2024-02-04 23:00:00,1.09279,1.09368,171.51,118.12,Trail
EURUSD,LONG,2024-02-09 21:00:00,2024-02-11 22:00:00,1.08940,1.09021,112.39,76.50,Trail
EURUSD,LONG,2024-02-11 22:00:00,2024-02-11 23:00:00,1.08956,1.09042,112.45,75.96,Trail
EURUSD,LONG,2024-02-12 00:00:00,2024-02-12 01:00:00,1.08954,1.09044,137.43,92.13,Trail
EURUSD,LONG,2024-02-12 01:00:00,2024-02-12 02:00:00,1.08975,1.09063,130.25,86.52,Trail
EURUSD,LONG,2024-02-12 03:00:00,2024-02-12 04:00:00,1.08994,1.09090,120.70,79.49,Trail
EURUSD,LONG,2024-02-12 04:00:00,2024-02-12 05:00:00,1.09005,1.09100,118.87,77.66,Trail
