pair,side,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct,exit_reason
EURUSD,SHORT,2024-09-15 09:00:00,2024-09-15 10:00:00,1.15339,1.15076,51.93,51.93,Trail
EURUSD,SHORT,2024-09-15 22:00:00,2024-09-15 23:00:00,1.15539,1.15301,97.80,97.29,Trail
EURUSD,SHORT,2024-09-16 00:00:00,2024-09-16 01:00:00,1.15553,1.15305,109.03,107.42,Trail
EURUSD,SHORT,2024-09-16 01:00:00,2024-09-16 02:00:00,1.15450,1.15202,74.60,72.71,Trail
EURUSD,SHORT,2024-09-16 02:00:00,2024-09-16 03:00:00,1.15384,1.15134,63.99,61.92,Trail
EURUSD,LONG,2024-09-17 05:00:00,2024-09-17 06:00:00,1.15998,1.16268,55.59,53.46,Trail
EURUSD,LONG,2024-09-17 06:00:00,2024-09-17 07:00:00,1.16073,1.16352,49.93,47.77,Trail
EURUSD,LONG,2024-09-17 23:00:00,2024-09-18 00:00:00,1.15871,1.16151,133.92,127.50,Trail
EURUSD,SHORT,2024-09-18 02:00:00,2024-09-18 03:00:00,1.15858,1.15590,154.21,144.98,Trail
EURUSD,SHORT,2024-09-18 08:00:00,2024-09-18 09:00:00,1.15830,1.15536,92.79,85.98,Trail
EURUSD,SHORT,2024-09-18 09:00:00,2024-09-18 10:00:00,1.15677,1.15384,62.94,57.83,Trail
EURUSD,SHORT,2024-09-18 10:00:00,2024-09-18 11:00:00,1.15610,1.15330,53.37,48.75,Trail
EURUSD,SHORT,2024-09-18 12:00:00,2024-09-18 13:00:00,1.15615,1.15352,61.08,55.53,Trail
EURUSD,SHORT,2024-09-18 13:00:00,2024-09-18 14:00:00,1.15605,1.15336,80.95,73.18,Trail
EURUSD,LONG,2024-09-20 00:00:00,2024-09-20 01:00:00,1.15703,1.15936,70.12,62.93,Trail
EURUSD,LONG,2024-09-20 01:00:00,2024-09-20 02:00:00,1.15760,1.15988,65.19,58.15,Trail
EURUSD,LONG,2024-09-20 02:00:00,2024-09-20 03:00:00,1.15797,1.16016,63.54,56.35,Trail
EURUSD,LONG,2024-09-20 03:00:00,2024-09-20 04:00:00,1.15819,1.16040,69.92,61.65,Trail
EURUSD,LONG,2024-09-21 11:00:00,2024-09-21 12:00:00,1.16161,1.16395,108.82,95.37,Trail
EURUSD,LONG,2024-09-21 12:00:00,2024-09-21 13:00:00,1.16180,1.16417,104.10,90.36,Trail
EURUSD,LONG,2024-09-21 14:00:00,2024-09-21 15:00:00,1.16178,1.16405,100.37,86.35,Trail
EURUSD,LONG,2024-09-21 15:00:00,2024-09-21 16:00:00,1.16187,1.16415,100.45,85.68,Trail
EURUSD,LONG,2024-09-21 17:00:00,2024-09-21 18:00:00,1.16315,1.16561,80.81,68.34,Trail
EURUSD,LONG,2024-09-21 18:00:00,2024-09-21 19:00:00,1.16348,1.16593,74.06,62.20,Trail
EURUSD,LONG,2024-09-21 21:00:00,2024-09-21 22:00:00,1.16502,1.16772,65.56,54.73,Trail
EURUSD,LONG,2024-09-22 17:00:00,2024-09-22 18:00:00,1.16381,1.16654,87.37,72.53,Trail
EURUSD,LONG,2024-09-24 20:00:00,2024-09-24 21:00:00,1.16750,1.16993,145.67,120.07,Trail
